accession,type,species,description,last_update,factors
E-GEOD-10289,differential,Homo sapiens,Differential expression comparing RNA interference,,RNA interference
E-TABM-15,differential,Homo sapiens,Differential expression comparing disease staging,,disease staging
E-TABM-733,differential,Homo sapiens,"Differential expression comparing disease, stimulus",,"disease, stimulus"
E-TABM-734,differential,Homo sapiens,"Differential expression comparing disease, stimulus",,"disease, stimulus"
E-MTAB-8031,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-MTAB-9273,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9206,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-9207,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-10311,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-12121,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-11199,differential,Homo sapiens,"Differential expression comparing disease, treatment",,"disease, treatment"
E-MTAB-8830,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-8162,differential,Homo sapiens,"Differential expression comparing disease, stimulus",,"disease, stimulus"
E-GEOD-10315,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-CURD-45,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-MTAB-8677,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8163,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-TABM-666,differential,Homo sapiens,Differential expression comparing disease staging,,disease staging
E-GEOD-100833,differential,Homo sapiens,"Differential expression comparing disease, cohort, organism part",,"disease, cohort, organism part, sampling site"
E-MTAB-8943,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-10433,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9194,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-GEOD-11886,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-1147,differential,Homo sapiens,Differential expression comparing sex,,sex
E-GEOD-10927,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-11324,differential,Homo sapiens,Differential expression comparing compound,,compound
E-TABM-577,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8299,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-8155,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-GEOD-11941,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-11839,differential,Homo sapiens,Differential expression comparing disease,,disease
E-TABM-127,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-GEOD-11940,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-10746,differential,Homo sapiens,"Differential expression comparing disease, clinical treatment",,"disease, clinical treatment"
E-MTAB-8444,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MTAB-8446,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8440,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-11959,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-11151,differential,Homo sapiens,"Differential expression comparing disease, developmental stage",,"disease, developmental stage"
E-GEOD-12355,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-11336,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-8301,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-8135,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-MTAB-910,differential,Homo sapiens,"Differential expression comparing disease, treatment",,"disease, treatment"
E-GEOD-106675,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8202,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-GEOD-11348,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-11408,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-67898,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-MEXP-3496,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MEXP-2351,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MEXP-1828,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1744,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1586,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-847,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MEXP-3329,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-560,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-3567,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1315,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-2083,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MEXP-3715,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1512,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-MEXP-3711,differential,Homo sapiens,"Differential expression comparing cell type, compound, disease",,"cell type, compound, disease"
E-MEXP-433,differential,Homo sapiens,Differential expression comparing organism part,,organism part
E-MEXP-1878,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MEXP-1412,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-466,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-MEXP-3776,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-3777,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1901,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-MEXP-804,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MEXP-549,differential,Homo sapiens,Differential expression comparing irradiate,,irradiate
E-MEXP-3725,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-MEXP-2280,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-5279,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-2349,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-MTAB-7501,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5761,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-2758,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-454,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5021,differential,Homo sapiens,"Differential expression comparing tumor grading, sampling site",,"tumor grading, sampling site"
E-MTAB-7604,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6485,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-5262,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-3201,differential,Homo sapiens,"Differential expression comparing disease, organism part",,"disease, organism part"
E-MTAB-5958,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7406,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-MTAB-4902,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-4609,differential,Homo sapiens,"Differential expression comparing treatment, cell type",,"treatment, cell type"
E-MTAB-108,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-4541,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-MTAB-1238,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-3021,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6756,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5230,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-7294,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-6643,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-9789,differential,Homo sapiens,"Differential expression comparing stimulus, compound",,"stimulus, compound"
E-MTAB-3101,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-MTAB-470,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-3485,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-3864,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-6681,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-2847,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-2533,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-339,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-20114,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-GEOD-16161,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-19777,differential,Homo sapiens,Differential expression comparing conditions,,
